V[Angstroms^3]	rho[g/cm^3]	P[GPa]	Pst.dev.[GPa]	T[K]	Tst.dev.[K]	unique_id	science_material	science_formula	science_phase	science_method	data_delimiter	label	entry	drho[g/cm^3]	dP[GPa]	dT[K]	science_cristal	MDsteps	U[kJ/kg]
	10.666912544581985	97.5676		2064.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0036809958743596	0.0965	104.8	hcp		
	10.676737574845832	96.4298		1857.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024585199642728	0.1449	11.0	hcp		
	10.7013795172031	95.7742		1766.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0030873520042707	0.0539	87.0	hcp		
	10.703232249113976	94.7609		1568.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024707368996107	0.0223	119.2	hcp		
	10.69829305564415	100.1116		2345.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024684570963645	0.1365	66.3	hcp		
	10.690892806816173	102.0109		2657.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0030813041292414	0.2791	81.6	hcp		
	10.685964992662305	99.3626		2206.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024627713742019	0.1986	110.7	hcp		
	10.687196520263166	98.7498		2371.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024633390619484	0.4772	69.5	hcp		
	10.68288741504792	99.632		2555.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024613530130863	0.1753	62.2	hcp		
	10.679196661061033	99.3403		2426.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018447394474107	0.1618	56.3	hcp		
	10.6571055802245	102.4882		2746.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0030618587543022	0.4042	106.7	hcp		
	10.685964992662305	103.5536		2889.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024627713742019	0.2569	141.6	hcp		
	10.68288741504792	104.4787		3028.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0030766912663579	0.2836	130.2	hcp		
	10.703232249113976	104.8809		3054.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024707368996107	0.3529	114.2	hcp		
	10.66139390737221	105.5185		3227.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0036771880572679	0.3877	98.9	hcp		
	11.11770821320267	120.6177		1640.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0026657974375261	0.1829	68.8	hcp		
	11.134394453541873	120.2584		1564.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0026738054760261	0.1627	131.6	hcp		
	11.125043993320554	122.8694		2044.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0026693165360975	0.3927	69.8	hcp		
	11.145769736336955	121.8227		1865.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020094536784261	0.3256	66.1	hcp		
	11.142421652907595	120.7461		1702.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020082466181269	0.0764	76.3	hcp		
	11.204350172938256	114.5921		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0013537546273108	0.0	1.0	hcp		
	11.15515508316173	125.0864		2272.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020128392427213	0.4716	94.1	hcp		
	11.15582606993365	126.2971		2590.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020130813960782	0.5891	85.5	hcp		
	11.117041803791102	127.9736		2976.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0026654778646025	1.4755	112.0	hcp		
	11.121041459054204	125.2601		2539.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0026673961645509	0.5834	116.2	hcp		
	11.192855064130775	114.8058		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0013509782817297	0.0	1.0	hcp		
	11.18542961296948	126.0385		1999.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020237795572588	0.1394	93.7	hcp		
	11.167245207890591	127.5697		2240.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020172046979571	0.2478	83.8	hcp		
	11.229450739443386	117.8332		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0020397403861909	0.0	1.0	hcp		
	11.232171052122514	117.7603		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0013604858348016	0.0	1.0	hcp		
	10.581708701583098	79.154		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024149503512484	0.0	1.0	hcp		
	10.586540807845594	80.4887		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018128673111214	0.0	1.0	hcp		
	10.460553209963166	84.8381		1495.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0017699751624303	0.0	17.73	hcp		
	10.639376343084384	95.4857		1988.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018310078607878	0.0713	89.5	hcp		
	10.641207666110905	95.9014		2034.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024421843286731	0.1809	69.8	hcp		
	10.66078107792418	93.6848		1577.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018383826656189	0.1092	124.0	hcp		
	10.679811609619197	93.3665		1424.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018449519076849	0.0676	104.7	hcp		
	10.663845929890003	94.9057		1677.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024525864604162	0.1259	111.9	hcp		
	10.646094277747943	94.7875		1848.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018333208675302	0.1264	95.1	hcp		
	10.632057349956831	96.0576		2117.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.001828489569472	0.2538	83.3	hcp		
	10.632666881422171	96.6381		2247.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018286992285883	0.2025	101.4	hcp		
	10.619881379560638	96.1836		2254.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018243039474737	0.1946	80.6	hcp		
	10.61137478044667	95.0985		2315.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018213825575775	0.1615	73.2	hcp		
	10.604700578228996	94.8731		2421.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024254561331646	0.2915	65.9	hcp		
	10.587749524042186	94.8386		2522.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024177084030466	0.2306	72.3	hcp		
	10.598640403031428	98.4495		2812.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024226848169681	0.2989	141.4	hcp		
	10.675508456377536	85.9993		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0018434654561176	0.0	1.0	hcp		
	10.752876183479064	87.9374		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0037405645350692	0.0	1.0	hcp		
	10.802982782656509	90.7903		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0025170043762014	0.0	1.0	hcp		
	10.766609103253629	97.0205		1570.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0025000833863354	0.1191	112.4	hcp		
	10.762235734500493	98.0102		1774.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0031225659300471	0.0842	73.6	hcp		
	10.667526079181352	86.6227		1942.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024542795534755	0.0	81.2	hcp		
	10.64548320586884	95.3286		2032.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024441472175109	0.2152	86.6	hcp		
	10.726755836474666	99.258		1937.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0031020115200909	0.2124	87.5	hcp		
	10.636935559339696	96.5763		2187.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0024402238034732	0.3347	104.5	hcp		
	10.766609103253629	88.4561		300.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0025000833863354	0.0	1.0	hcp		
	10.732342365178344	99.9082		2486.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0049683894983754	0.0	125.0	hcp		
	10.690276581511728	100.1352		2262.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0030809489254457	0.0	107.0	hcp		
	10.700144718897304	99.7464		2238.0		miozzi2020	iron	Fe	solid	DAC		hcpfe-highP	miozzi2020_hcpfe-highP	0.0037039674789928	0.2331	137.0	hcp		
